iter	Passed	Remaining
920	7203	617
921	7208	609
922	7214	601
923	7219	593
924	7224	585
925	7229	577
926	7234	569
927	7239	561
928	7244	553
929	7248	545
930	7253	537
931	7258	529
932	7263	521
933	7268	513
934	7272	505
935	7277	497
936	7281	489
937	7285	481
938	7290	473
939	7295	465
940	7299	457
941	7304	449
942	7309	441
943	7313	433
944	7320	426
945	7325	418
946	7330	410
947	7335	402
948	7340	394
949	7345	386
950	7350	378
951	7354	370
952	7359	362
953	7363	355
954	7368	347
955	7373	339
956	7378	331
957	7382	323
958	7388	315
959	7392	308
960	7397	300
961	7401	292
962	7407	284
963	7410	276
964	7415	268
965	7420	261
966	7425	253
967	7430	245
968	7435	237
969	7440	230
970	7444	222
971	7449	214
972	7454	206
973	7459	199
974	7464	191
975	7468	183
976	7473	175
977	7478	168
978	7483	160
979	7488	152
980	7494	145
981	7499	137
982	7503	129
983	7508	122
984	7513	114
985	7517	106
986	7523	99
987	7528	91
988	7533	83
989	7538	76
990	7543	68
991	7547	60
992	7552	53
993	7557	45
994	7561	37
995	7566	30
996	7571	22
997	7578	15
998	7586	7
999	7591	0
